2015-07-09 15:05:09,480 [1] INFO  Photon.LoadBalancing.GameServer.GameApplication [(null)] - Setup: serverId=0aa6f6f6-386b-4814-ac90-c04a75fb8834
2015-07-09 15:05:10,073 [1] WARN  Photon.LoadBalancing.LoadShedding.WorkloadController [(null)] - Did not find counter Business Logic Queue
2015-07-09 15:05:10,073 [1] WARN  Photon.LoadBalancing.LoadShedding.WorkloadController [(null)] - Did not find counter ENet Queue
2015-07-09 15:05:10,089 [1] WARN  Photon.LoadBalancing.LoadShedding.WorkloadController [(null)] - Did not find counter bytes in/sec
2015-07-09 15:05:10,089 [1] WARN  Photon.LoadBalancing.LoadShedding.WorkloadController [(null)] - Did not find counter bytes out/sec
2015-07-09 15:05:10,089 [1] WARN  Photon.LoadBalancing.LoadShedding.WorkloadController [(null)] - Did not find counter ENet Threads Processing
2015-07-09 15:05:10,089 [1] WARN  Photon.LoadBalancing.LoadShedding.WorkloadController [(null)] - Did not find counter ENet Threads Active
2015-07-09 15:05:10,089 [1] WARN  Photon.LoadBalancing.LoadShedding.WorkloadController [(null)] - Did not find counter Time Spent In Server: In (ms)
2015-07-09 15:05:10,089 [1] WARN  Photon.LoadBalancing.LoadShedding.WorkloadController [(null)] - Did not find counter Time Spent In Server: Out (ms)
2015-07-09 15:05:10,105 [1] WARN  Photon.LoadBalancing.LoadShedding.WorkloadController [(null)] - Did not find counter TCP: Disconnected Peers +/sec
2015-07-09 15:05:10,105 [1] WARN  Photon.LoadBalancing.LoadShedding.WorkloadController [(null)] - Did not find counter TCP: Disconnected Peers (C) +/sec
2015-07-09 15:05:10,105 [1] WARN  Photon.LoadBalancing.LoadShedding.WorkloadController [(null)] - Did not find counter TCP: Peers
2015-07-09 15:05:10,105 [1] WARN  Photon.LoadBalancing.LoadShedding.WorkloadController [(null)] - Did not find counter UDP: Disconnected Peers +/sec
2015-07-09 15:05:10,105 [1] WARN  Photon.LoadBalancing.LoadShedding.WorkloadController [(null)] - Did not find counter UDP: Disconnected Peers (C) +/sec
2015-07-09 15:05:10,105 [1] WARN  Photon.LoadBalancing.LoadShedding.WorkloadController [(null)] - Did not find counter UDP: Peers
2015-07-09 15:05:10,136 [1] WARN  Photon.LoadBalancing.LoadShedding.FeedbackControlSystem [(null)] - Could not initialize Feedback Control System from configuration: Invalid configuration file E:\TaidouPhotonServer\deploy\Workload.config. Using default settings... (未能找到文件“E:\TaidouPhotonServer\deploy\Workload.config”。)
2015-07-09 15:05:10,214 [1] INFO  Photon.LoadBalancing.GameServer.GameApplication [(null)] - Connecting to master at 127.0.0.1:4520, serverId=0aa6f6f6-386b-4814-ac90-c04a75fb8834
2015-07-09 15:05:10,230 [1] INFO  Photon.SocketServer.ApplicationBase [(null)] - Application start: AppId=Game1; AppPath=E:\TaidouPhotonServer\deploy\LoadBalancing\GameServer1, Type=Photon.LoadBalancing.GameServer.GameApplication 
2015-07-09 15:05:10,245 [1] INFO  Photon.SocketServer.Diagnostics.CounterPublisher [(null)] - CounterPublisher started on: 255.255.255.255:40001
2015-07-09 15:05:11,433 [12] INFO  Photon.LoadBalancing.GameServer.OutgoingMasterServerPeer [(null)] - connection to master at 127.0.0.1:4520 established (id=2), serverId=0aa6f6f6-386b-4814-ac90-c04a75fb8834
2015-07-09 15:05:11,433 [13] INFO  Photon.LoadBalancing.GameServer.OutgoingMasterServerPeer [(null)] - Registering game server with address 127.0.0.1, TCP 4531, UDP 5056, WebSocket 9091, ServerID 0aa6f6f6-386b-4814-ac90-c04a75fb8834
2015-07-09 15:05:11,605 [10] INFO  Photon.LoadBalancing.GameServer.OutgoingMasterServerPeer [(null)] - Successfully registered at master server: serverId=0aa6f6f6-386b-4814-ac90-c04a75fb8834
2015-07-09 15:05:57,378 [1] INFO  Photon.LoadBalancing.GameServer.GameApplication [(null)] - OnStopRequested: serverid=0aa6f6f6-386b-4814-ac90-c04a75fb8834
2015-07-09 15:05:57,394 [1] INFO  Photon.SocketServer.ApplicationBase [(null)] - Application is stopping: AppId=Game1
2015-07-09 15:05:57,394 [13] INFO  Photon.LoadBalancing.GameServer.OutgoingMasterServerPeer [(null)] - connection to master closed (id=2, reason=ManagedDisconnect, detail=), serverId=0aa6f6f6-386b-4814-ac90-c04a75fb8834
2015-07-09 15:05:57,440 [1] INFO  Photon.LoadBalancing.GameServer.GameApplication [(null)] - TearDown: serverId=0aa6f6f6-386b-4814-ac90-c04a75fb8834
2015-07-09 15:05:57,440 [1] INFO  Photon.SocketServer.ApplicationBase [(null)] - Application stop: AppId=Game1
